"table_name","column_name","ordinal_position"
"customer_master","customer_id",1
"customer_master","customer_name",2
"customer_master","customer_type",3
"customer_master","channel",4
"customer_master","province",5
"customer_master","region",6
"customer_master","address",7
"customer_master","phone",8
"customer_master","tax_code",9
"customer_master","join_date",10
"customer_master","credit_limit",11
"customer_master","status",12
"customer_master","_source_file",13
"customer_master","_source_platform",14
"customer_master","_ingested_at",15
"customer_master","_batch_id",16
"distributor_master","distributor_id",1
"distributor_master","distributor_name",2
"distributor_master","tier",3
"distributor_master","channel",4
"distributor_master","province",5
"distributor_master","region",6
"distributor_master","contact_person",7
"distributor_master","phone",8
"distributor_master","email",9
"distributor_master","tax_code",10
"distributor_master","join_date",11
"distributor_master","credit_limit",12
"distributor_master","status",13
"distributor_master","assigned_supervisor_id",14
"distributor_master","_source_file",15
"distributor_master","_source_platform",16
"distributor_master","_ingested_at",17
"distributor_master","_batch_id",18
"distributor_orders","order_id",1
"distributor_orders","order_date",2
"distributor_orders","order_month",3
"distributor_orders","order_quarter",4
"distributor_orders","distributor_id",5
"distributor_orders","region",6
"distributor_orders","channel",7
"distributor_orders","product_id",8
"distributor_orders","product_category",9
"distributor_orders","qty_ordered",10
"distributor_orders","qty_delivered",11
"distributor_orders","fill_rate_pct",12
"distributor_orders","unit_price_list",13
"distributor_orders","distributor_price",14
"distributor_orders","gross_amount",15
"distributor_orders","delivered_amount",16
"distributor_orders","expected_delivery_date",17
"distributor_orders","actual_delivery_date",18
"distributor_orders","ontime_delivery",19
"distributor_orders","delivery_status",20
"distributor_orders","payment_terms",21
"distributor_orders","_source_file",22
"distributor_orders","_source_platform",23
"distributor_orders","_ingested_at",24
"distributor_orders","_batch_id",25
"employee_master","employee_id",1
"employee_master","full_name",2
"employee_master","gender",3
"employee_master","date_of_birth",4
"employee_master","join_date",5
"employee_master","position",6
"employee_master","region",7
"employee_master","team",8
"employee_master","email",9
"employee_master","phone",10
"employee_master","status",11
"employee_master","version",12
"employee_master","effective_date",13
"employee_master","resign_date",14
"employee_master","transfer_note",15
"employee_master","_source_file",16
"employee_master","_source_platform",17
"employee_master","_ingested_at",18
"employee_master","_batch_id",19
"ingest_log","log_id",1
"ingest_log","batch_id",2
"ingest_log","source_name",3
"ingest_log","source_file",4
"ingest_log","source_platform",5
"ingest_log","rows_loaded",6
"ingest_log","status",7
"ingest_log","error_message",8
"ingest_log","duration_sec",9
"ingest_log","started_at",10
"product_master","product_id",1
"product_master","product_name",2
"product_master","category",3
"product_master","sub_category",4
"product_master","unit",5
"product_master","unit_price",6
"product_master","cost_price",7
"product_master","weight_gram",8
"product_master","status",9
"product_master","launch_date",10
"product_master","_source_file",11
"product_master","_source_platform",12
"product_master","_ingested_at",13
"product_master","_batch_id",14
"promotion_program","promotion_id",1
"promotion_program","promotion_name",2
"promotion_program","promotion_type",3
"promotion_program","target_channel",4
"promotion_program","target_region",5
"promotion_program","start_date",6
"promotion_program","end_date",7
"promotion_program","applicable_products",8
"promotion_program","discount_pct",9
"promotion_program","min_order_quantity",10
"promotion_program","budget_vnd",11
"promotion_program","actual_cost_vnd",12
"promotion_program","status",13
"promotion_program","created_by",14
"promotion_program","program_name",15
"promotion_program","_source_file",16
"promotion_program","_source_platform",17
"promotion_program","_ingested_at",18
"promotion_program","_batch_id",19
"return_transactions","return_id",1
"return_transactions","original_order_id",2
"return_transactions","return_date",3
"return_transactions","return_month",4
"return_transactions","customer_id",5
"return_transactions","employee_id",6
"return_transactions","product_id",7
"return_transactions","region",8
"return_transactions","province",9
"return_transactions","return_quantity",10
"return_transactions","unit_price",11
"return_transactions","return_amount",12
"return_transactions","return_reason",13
"return_transactions","status",14
"return_transactions","_source_file",15
"return_transactions","_source_platform",16
"return_transactions","_ingested_at",17
"return_transactions","_batch_id",18
"sales_target_files","id",1
"sales_target_files","version_label",2
"sales_target_files","source_file",3
"sales_target_files","sheet_name",4
"sales_target_files","ingested_at",5
"sales_target_files","batch_id",6
"sales_target_plan_raw","plan_version",1
"sales_target_plan_raw","version_date",2
"sales_target_plan_raw","effective_from",3
"sales_target_plan_raw","effective_to",4
"sales_target_plan_raw","employee_id",5
"sales_target_plan_raw","employee_name",6
"sales_target_plan_raw","region",7
"sales_target_plan_raw","team",8
"sales_target_plan_raw","year",9
"sales_target_plan_raw","month",10
"sales_target_plan_raw","target_revenue",11
"sales_target_plan_raw","target_quantity",12
"sales_target_plan_raw","target_new_customers",13
"sales_target_plan_raw","_source_file",14
"sales_target_plan_raw","_source_platform",15
"sales_target_plan_raw","_ingested_at",16
"sales_target_plan_raw","_batch_id",17
"sales_targets_raw","id",1
"sales_targets_raw","version_label",2
"sales_targets_raw","employee_code",3
"sales_targets_raw","month_col",4
"sales_targets_raw","target_value",5
"sales_targets_raw","source_file",6
"sales_targets_raw","_ingested_at",7
"sales_targets_raw","_batch_id",8
"sales_transactions","order_id",1
"sales_transactions","order_date",2
"sales_transactions","order_month",3
"sales_transactions","order_quarter",4
"sales_transactions","order_year",5
"sales_transactions","customer_id",6
"sales_transactions","region",7
"sales_transactions","province",8
"sales_transactions","channel",9
"sales_transactions","employee_id",10
"sales_transactions","product_id",11
"sales_transactions","product_category",12
"sales_transactions","quantity",13
"sales_transactions","unit_price",14
"sales_transactions","discount_pct",15
"sales_transactions","discount_amount",16
"sales_transactions","gross_amount",17
"sales_transactions","net_amount",18
"sales_transactions","delivery_status",19
"sales_transactions","payment_method",20
"sales_transactions","payment_status",21
"sales_transactions","_source_file",22
"sales_transactions","_source_platform",23
"sales_transactions","_ingested_at",24
"sales_transactions","_batch_id",25
"territory_mapping","territory_id",1
"territory_mapping","employee_id",2
"territory_mapping","customer_id",3
"territory_mapping","region",4
"territory_mapping","team",5
"territory_mapping","effective_date",6
"territory_mapping","expiry_date",7
"territory_mapping","version",8
"territory_mapping","_source_file",9
"territory_mapping","_source_platform",10
"territory_mapping","_ingested_at",11
"territory_mapping","_batch_id",12
